figmaVariableName,mode,value,type,alias,defaultMode
components/badge/variants/styles/success/properties/colors/background,2,brand/palettes/core-colors/success/tone,COLOR,true,false
components/badge/variants/styles/success/properties/colors/background,3,brand/palettes/core-colors/success/tone,COLOR,true,false
components/badge/variants/styles/success/properties/colors/text,0,brand/palettes/core-colors/white/tone,COLOR,true,true
components/badge/variants/styles/success/properties/colors/text,1,brand/palettes/core-colors/white/tone,COLOR,true,false
components/badge/variants/styles/success/properties/colors/text,2,brand/palettes/core-colors/white/tone,COLOR,true,false
components/badge/variants/styles/success/properties/colors/text,3,brand/palettes/core-colors/white/tone,COLOR,true,false
components/badge/variants/styles/success/properties/colors/border-color,0,brand/palettes/core-colors/white/tone,COLOR,true,true
components/badge/variants/styles/success/properties/colors/border-color,1,brand/palettes/core-colors/white/tone,COLOR,true,false
components/badge/variants/styles/success/properties/colors/border-color,2,brand/palettes/core-colors/white/tone,COLOR,true,false
components/badge/variants/styles/success/properties/colors/border-color,3,brand/palettes/core-colors/white/tone,COLOR,true,false
components/badge/variants/styles/alert/properties/colors/background,0,brand/palettes/core-colors/alert/tone,COLOR,true,true
components/badge/variants/styles/alert/properties/colors/background,1,brand/palettes/core-colors/alert/tone,COLOR,true,false
components/badge/variants/styles/alert/properties/colors/background,2,brand/palettes/core-colors/alert/tone,COLOR,true,false
components/badge/variants/styles/alert/properties/colors/background,3,brand/palettes/core-colors/alert/tone,COLOR,true,false
components/badge/variants/styles/alert/properties/colors/text,0,brand/palettes/core-colors/white/tone,COLOR,true,true
components/badge/variants/styles/alert/properties/colors/text,1,brand/palettes/core-colors/white/tone,COLOR,true,false
components/badge/variants/styles/alert/properties/colors/text,2,brand/palettes/core-colors/white/tone,COLOR,true,false
components/badge/variants/styles/alert/properties/colors/text,3,brand/palettes/core-colors/white/tone,COLOR,true,false
components/badge/variants/styles/alert/properties/colors/border-color,0,brand/palettes/core-colors/white/tone,COLOR,true,true
components/badge/variants/styles/alert/properties/colors/border-color,1,brand/palettes/core-colors/white/tone,COLOR,true,false
components/badge/variants/styles/alert/properties/colors/border-color,2,brand/palettes/core-colors/white/tone,COLOR,true,false
components/badge/variants/styles/alert/properties/colors/border-color,3,brand/palettes/core-colors/white/tone,COLOR,true,false
components/badge/properties/text/font-family,0,tokens/font/typefaces/primary,STRING,true,true
components/badge/properties/text/font-family,1,tokens/font/typefaces/primary,STRING,true,false
components/badge/properties/text/font-family,2,tokens/font/typefaces/primary,STRING,true,false
components/badge/properties/text/font-family,3,tokens/font/typefaces/primary,STRING,true,false
components/badge/properties/text/font-size,0,tokens/font/sizes/sm,FLOAT,true,true
components/badge/properties/text/font-size,1,tokens/font/sizes/sm,FLOAT,true,false
components/badge/properties/text/font-size,2,tokens/font/sizes/sm,FLOAT,true,false
components/badge/properties/text/font-size,3,tokens/font/sizes/sm,FLOAT,true,false
components/badge/properties/text/font-weight,0,tokens/font/weights/regular,FLOAT,true,true
components/badge/properties/text/font-weight,1,tokens/font/weights/regular,FLOAT,true,false
components/badge/properties/text/font-weight,2,tokens/font/weights/regular,FLOAT,true,false
components/badge/properties/text/font-weight,3,tokens/font/weights/regular,FLOAT,true,false
components/badge/properties/text/letter-spacing,0,tokens/font/letter-spacings/default,STRING,true,true
components/badge/properties/text/letter-spacing,1,tokens/font/letter-spacings/default,STRING,true,false
components/badge/properties/text/letter-spacing,2,tokens/font/letter-spacings/default,STRING,true,false
components/badge/properties/text/letter-spacing,3,tokens/font/letter-spacings/default,STRING,true,false
components/badge/properties/text/line-height,0,tokens/font/line-heights/default,FLOAT,true,true
components/badge/properties/text/line-height,1,tokens/font/line-heights/default,FLOAT,true,false
components/badge/properties/text/line-height,2,tokens/font/line-heights/default,FLOAT,true,false
components/badge/properties/text/line-height,3,tokens/font/line-heights/default,FLOAT,true,false
components/badge/properties/text/text-decoration,0,none,STRING,false,true
components/badge/properties/text/text-decoration,1,none,STRING,false,false
components/badge/properties/text/text-decoration,2,none,STRING,false,false
components/badge/properties/text/text-decoration,3,none,STRING,false,false
components/badge/properties/text/text-transform,0,none,STRING,false,true
components/badge/properties/text/text-transform,1,none,STRING,false,false
components/badge/properties/text/text-transform,2,none,STRING,false,false
components/badge/properties/text/text-transform,3,none,STRING,false,false
components/badge/properties/text/font-style,0,normal,STRING,false,true
components/badge/properties/text/font-style,1,normal,STRING,false,false
components/badge/properties/text/font-style,2,normal,STRING,false,false
components/badge/properties/text/font-style,3,normal,STRING,false,false
components/badge/properties/padding-horizontal,0,brand/dimensions/general/default,FLOAT,true,true
components/badge/properties/padding-horizontal,1,brand/dimensions/general/default,FLOAT,true,false
components/badge/properties/padding-horizontal,2,brand/dimensions/general/default,FLOAT,true,false
components/badge/properties/padding-horizontal,3,brand/dimensions/general/default,FLOAT,true,false
components/badge/properties/padding-vertical,0,brand/dimensions/general/sm,FLOAT,true,true
components/badge/properties/padding-vertical,1,brand/dimensions/general/sm,FLOAT,true,false
components/badge/properties/padding-vertical,2,brand/dimensions/general/sm,FLOAT,true,false
components/badge/properties/padding-vertical,3,brand/dimensions/general/sm,FLOAT,true,false
components/badge/properties/border-size,0,1,FLOAT,false,true
components/badge/properties/border-size,1,1,FLOAT,false,false
components/badge/properties/border-size,2,1,FLOAT,false,false
